Bardiya 8;Tell Abu Dhahir
Tell Abu Dhahir;Gir Matbakh
Gir Matbakh;EHS.B281
Gir Matbakh;EHS.A027
EHS.A027;EHS.B163
EHS.B163;EHS.B012
EHS.A027;Shelkiya Cem.
Shelkiya Cem.;Basorin Höyük
Basorin Höyük;Rubai Kale
Rubai Kale;Başur Höyük
Aq Tepe;Tell Gurgishah
Aq Tepe;Tell al-Halfayah
Tell Gurgishah;Tell Abu Tibbin
Tell Abu Tibbin;Tullul Dhiba'i (B)
Abu Rasain;Tullul Dhiba'i (B)
Abu Rasain;Tell Abu Tibbin
Abu Rasain;LBB.534
Tell Gurgishah;Tell Asmar
Tell Asmar;LBB.634
Tell Asmar;Tulul Rughath
Tulul Rughath;LBB.634
LBB.634;Abu 'Obayyah al-saghir
LBB.634;Tell Helib
LBB.634;Tell Halawa
LBB.634;Aq Tepe
LBB.634;Tell al-Halfayah
LBB.634;Tell Gurgishah
Yorgan Tepe;Tell al-Halfayah
Tell Gurgishah;Tell al-Halfayah
Tell al-Halfayah;Tell Helib
Tell Helib;Khafajeh
Tell Helib;Tell Halawa
Tell Halawa;Khafajeh
Khafajeh;LBB.433
Khafajeh;Tell al-Rashshad
Khafajeh;Tell Midar Ihmud
Khafajeh;Tell Gurgishah
Khafajeh;Tell al-Halfayah
Khafajeh;Abu 'Obayyah al-saghir
Abu 'Obayyah al-saghir;Tell Abu Qubur al-Saghir
Abu 'Obayyah al-saghir;Tell Helib
Abu 'Obayyah al-saghir;Tell Gurgishah
Abu 'Obayyah al-saghir;Tell al-Halfayah
Abu 'Obayyah al-saghir;Aq Tepe
LBB.433;LBB.441
LBB.441;Tell Midar Ihmud
Tell Midar Ihmud;Tell al-Rashshad
Tell Midar Ihmud;Tell Midr Da'ud
Tell Midar Ihmud;LBB.465
Tell Midr Da'ud;Tulul Midr Salmah
LBB.465;Tulul Midr Salmah
Tulul Midr Salmah;Tulul Abu Jawan
Tell Midar Ihmud;LBB.568
LBB.568;Tulul Abu Jawan
LBB.568;Nineveh
LBB.568;Jemdet Nasr
LBB.568;HOC.574
Tepe Sharafabad;Susa
Tepe Sharafabad;Choga Kabira
Tepe Sharafabad;Tepe Sanjar
Susa;Tepe Sanjar
Susa;Zurghul
Susa;Girsu
Choga Kabira;Tepe Sanjar
Tepe Sanjar;KH284
Choga Mish;KH171
Tal-e Abbas;Tall-e Gapo Cham
Tal-e Abbas;RH.077D
Tal-e Abbas;Tepe Moravache
Tal-e Subiti;Ishan al Yamalah
Tall-e Gapo Cham;Tal i-Malyan
RH.077D;Tal i-Malyan
Qraya;Abu Dhaba
Abu Dhaba;Tell Uqair
Abu Dhaba;HOC.1375
Abu Dhaba;HOC.1615
Abu Dhaba;Tell Mismar
Tell Uqair;Jemdet Nasr
Jemdet Nasr;KIS.098
KIS.098;Abu Salabikh
KIS.098;HOC.574
KIS.098;LBB.568
KIS.098;HOC.539
KIS.098;Nineveh
Abu Salabikh;Nippur
Nippur;Umm al-Fugas
Umm al-Fugas;HOC.1353
Umm al-Fugas;HOC.1355
HOC.1353;Tell al-Dhubay'ah
HOC.1355;Tell al-Dhubay'ah
Tell al-Dhubay'ah;Abu Boga
Abu Boga;UC.042
UC.042;UC.044
UC.044;UC.060
UC.060;UC.095
UC.060;UC.071
UC.071;UC.106
UC.071;UC.108
UC.095;HOC.1394
HOC.1394;HOC.1375
UC.095;UC.139
UC.095;UC.137
UC.095;UC.133
UC.133;UC.144
UC.133;UC.155
UC.133;UC.152
UC.133;UC.119
UC.133;UC.126
UC.133;UC.114
UC.139;UC.137
UC.137;UC.106
UC.106;UC.108
UC.108;UC.109
UC.108;UC.115
UC.109;UC.115
UC.109;UC.112
UC.112;UC.114
UC.115;UC.124
UC.115;UC.126
UC.115;UC.119
UC.126;UC.152
UC.119;UC.152
UC.152;UC.155
UC.152;UC.153
UC.152;UC.160
UC.160;UC.161
UC.161;UC.256
UC.153;UC.128
UC.128;UC.127
UC.128;UC.125
UC.125;UC.120
UC.120;UC.124
UC.127;UC.123
UC.123;UC.181
UC.181;UC.086
UC.086;UC.173
UC.086;UC.167
UC.167;UC.166
UC.166;UC.018
UC.166;Tell Jidr
Tell Jidr;UC.018
UC.018;UC.048
UC.048;UC.047
UC.048;UC.051
UC.047;UC.077
UC.051;UC.083
UC.083;Ishan al Mhammar
UC.087;Ishan al Mhammar
UC.087;UC.076
Ishan al Mhammar;UC.076
UC.087;UC.077
Ishan al Mhammar;UC.077
UC.076;Abu Boga
UC.077;Abu Boga
UC.009;UC.012
UC.012;UC.028
Tell Jidr;HOC.1448
HOC.1448;Zabalam
HOC.1129;HOC.1164
HOC.1129;HOC.977
HOC.1131;HOC.1137
HOC.1137;HOC.1197
HOC.1197;HOC.1216
HOC.1197;HOC.1315
HOC.1216;HOC.1315
HOC.1315;Tell al-Hayyad
HOC.1129;HOC.1031
HOC.1164;HOC.1031
HOC.1031;HOC.1020
HOC.1020;HOC.1100
HOC.1100;HOC.1072
HOC.1072;HOC.1154
HOC.1154;HOC.1163
HOC.1154;HOC.1194
HOC.1163;HOC.1194
HOC.1194;HOC.1216
HOC.1163;HOC.1165
HOC.1165;HOC.1196
HOC.1163;HOC.1261
HOC.1261;HOC.1165
HOC.977;HOC.975
HOC.975;HOC.940
HOC.940;HOC.805
HOC.805;HOC.786
HOC.786;HOC.539
HOC.539;HOC.574
HOC.574;Nineveh
HOC.574;LBB.568
HOC.574;UC.18
HOC.574;UC.48
HOC.574;Tell Jidr
HOC.574;UC.166
HOC.574;Said Mohammed
HOC.574;Umma al-Aqarib
HOC.1448;Tell Jidr
Tell Jidr;Tell Shmid
Tell Shmid;Abu Jarabie
Abu Jarabie;Said Mohammed
Said Mohammed;Umma/Jokha
Umma/Jokha;Umm al-Aqarib
Umm al-Aqarib;Girsu
Girsu;Zurghul
Girsu;Ur
Girsu;HOC.574
Girsu;Susa
Girsu;UC.018
