site;lat;long
Hallan Harabesi;37.692045;38.704596
Hama;35.135899;36.749498
Hammam et-Turkman;36.482535;39.056983
Hanibrahimshah;38.844714;39.074404
Harabe 1;36.901693;38.026587
Haroglu Tarlasi;38.492312;38.472854
Hassek Höyük;37.747943;38.921802
Hassek Hoyuk;37.747943;38.921802
Hayaz Höyük;37.490584;38.344418
Hayaz Hoyuk;37.490584;38.344418
Hayyad al-'Awi;32.00622;45.70258
Hirbik Mevkii;37.712842;38.918434
HOC.1019;32.2097934;45.3685424
HOC.1020;32.1985216;45.3542761
HOC.1024;32.1942464;45.3247453
HOC.1031;32.1856421;45.3323913
HOC.1034;32.1775503;45.3445649
HOC.1046;32.1628469;45.341722
HOC.1069;32.1357366;45.3756056
HOC.1070;32.1234056;45.4008085
HOC.1072;32.1780504;45.4169052
HOC.1100;32.2073674;45.4725799
HOC.1112;32.1780504;45.4169052
HOC.1113;32.2064021;45.4027021
HOC.1114;32.2073674;45.4725799
HOC.1115;32.2106793;45.5110012
HOC.1118;32.1793944;45.5016462
HOC.1124;32.1200799;45.4169052
HOC.1129;32.0987215;45.4027021
HOC.1131;32.1561531;45.4475105
HOC.1137;32.1458639;45.4725799
HOC.1154;32.1624581;45.5126523
HOC.1159;32.1487995;45.5359952
HOC.1163;32.1678612;45.5739821
HOC.1164;32.1496863;45.6181584
HOC.1165;32.15209;45.62468
HOC.1166;32.14169;45.6307
HOC.1169;32.1521566;45.4242428
HOC.1170;32.1521566;45.4242428
HOC.1172;32.0908715;45.4242428
HOC.1174;32.100628;45.4492668
HOC.1178;32.0930841;45.4546921
HOC.1180;32.08737;45.47658
HOC.1194;32.1181223;45.5580277
HOC.1195;32.1240163;45.5621229
HOC.1196;32.1056919;45.6305317
HOC.1197;32.1167345;45.486872
HOC.1198;32.1204763;45.6316436
HOC.1199;32.1081065;45.6481924
HOC.1205;32.1093;45.62446
HOC.1208;32.0895469;45.6481924
HOC.1210;32.0576588;45.6321197
HOC.1216;32.0391989;45.7010583
HOC.1230;32.0528;45.40901
HOC.1247;32.0238392;45.486872
HOC.1261;32.0665503;45.6316436
HOC.1271;32.0895469;45.6481924
HOC.1278;32.0576588;45.6321197
HOC.1284;32.0391989;45.7010583
HOC.1294;32.046983;45.5929117
HOC.1304;32.046983;45.5929117
HOC.1312;32.0123987;45.5929117
HOC.1315;32.0026445;45.651889
HOC.1316;32.0050678;45.6653015
HOC.1353;31.93197;45.42574
HOC.1355;31.9234079;45.4254282
HOC.1375;31.8047929;45.2821484
HOC.1394;31.7792925;45.4502763
HOC.1416;31.9454061;45.5691123
HOC.1428;31.9827988;45.6517342
HOC.1432;31.9464479;45.7868164
HOC.1434;31.9464479;45.7868164
HOC.1437;31.9464479;45.7868164
HOC.1440;31.9371124;45.6968121
HOC.1448;31.9220254;45.6289976
HOC.1451;31.8701948;45.7272713
HOC.1460;31.8571714;45.7868164
HOC.1465;31.8701948;45.7272713
HOC.1471;31.8571714;45.7868164
HOC.1615;31.4880868;45.3912259
HOC.539;32.4109984;45.1327107
HOC.573;32.4431126;45.1470314
HOC.574;32.4392607;45.1451899
HOC.655;32.3463629;45.0696915
HOC.667;32.3716655;45.1819287
HOC.677;32.3522295;45.2051388
HOC.678;32.343762;45.2044206
HOC.722;32.3014442;45.1622023
HOC.737;32.3295515;45.2229783
HOC.738;32.3168553;45.204018
HOC.740;32.3109967;45.2575884
HOC.743;32.2484173;45.204018
HOC.744;32.3071461;45.2575884
HOC.745;32.3211237;45.2458707
HOC.765;32.2484173;45.204018
HOC.781;32.3071461;45.2575884
HOC.782;32.3053946;45.2903637
HOC.786;32.291066;45.2718131
HOC.790;32.2801371;45.2411881
HOC.792;32.275505;45.2676607
HOC.793;32.2721482;45.2891103
HOC.804;32.2638025;45.2689177
HOC.805;32.2656628;45.2793857
HOC.824;32.3045764;45.3232707
HOC.829;32.2952349;45.3792905
HOC.831;32.2866342;45.3746974
HOC.832;32.2826327;45.3760536
HOC.835;32.2836521;45.323606
HOC.837;32.2723231;45.3173387
HOC.838;32.2701497;45.3187151
HOC.845;32.2494791;45.3243885
HOC.912;32.224657;45.1941893
HOC.935;32.2233659;45.2384878
HOC.936;32.2202367;45.2355353
HOC.937;32.2178539;45.231627
HOC.939;32.2172636;45.2534466
HOC.940;32.2227663;45.2805244
HOC.952;32.1787395;45.2122388
HOC.964;32.178357;45.2384853
HOC.975;32.19449;45.3044315
HOC.976;32.1958606;45.3100731
HOC.977;32.1903943;45.3131753
HOC.980;32.1839696;45.2777787
HOC.981;32.184158;45.2838361
HOC.982;32.1720543;45.2993982
Horum Höyük;37.10038;37.86661
Horum Hoyuk;37.10038;37.86661
Imamoglu Hoyuk;38.47561;38.442796
Imikusagi;38.506598;38.439455
Ishan Abu Diyyayyat;32.161577;48.492286
Ishan Abu Hayan;31.9714008;45.3748414
Ishan Abu Jasib;32.3089061;44.9929979
Ishan Abu Sharr Galleh;31.1568961;49.6034709
Ishan al Mhammar;31.6754315;45.6500932
Ishan al Yamalah;31.2362666;49.4502793
Ishan Bayt;31.755881;45.335746
Ishan Jokha;31.9626671;45.3722837
Ishan Rud;32.136521;48.296612
Ishan Slay' al-Jamir;32.7923979;44.561601
Ivik Tepe;38.76668;38.94969
JAA.06;36.61952783;39.84744328
Jebel Aruda;36.234305;38.098659
Jeifin;36.725296;41.12073
Jemdet Gumrah;32.6317939;44.604101
Jemdet Nasr;32.7181927;44.7799128
Jerablus;36.81906;38.010925
Kabir Höyük;37.071488;38.016625
Kafer Najed;35.8167;36.5833
Kale Höyük;37.114724;38.12798
Kalecik;38.8591704;38.9299758
Kalecikler;38.923337;38.748885
Kalemeydani Hoyuk;37.24390451;37.86256912
Kamarian;36.091908;44.940005
Kani Shaie;35.33285;45.103484
Karababa Harabesi;38.655721;38.376762
Karacanlık;36.33479308;36.37285983
Karadut Mevkii;37.569677;38.576901
Karkemish;36.828916;38.016226
Karmitli Hoyuk;37.476749;38.367377
Kasanet Sabeh;32.05524;48.349879
Kazanci;38.602262;39.390324
Kefri Höyük;37.015252;37.960681
Kefri Hoyuk;37.015252;37.960681
Kelusk Hoyuk;37.696387;38.821387
Kenan Tepe;37.83057;40.813337
Kh. Karkush the first;36.62269996;42.95906595
Kh. Sulaiman;36.75775023;42.73249609
KH005;32.154156;48.49078
KH006;32.144429;48.501266
KH015;32.31369;48.24684
KH22;32.260437;48.256548
KH022;32.260437;48.256548
KH032;32.122492;48.293794
KH034;32.147762;48.293592
KH035;32.16502;48.30914
KH040;32.1961;48.45503
KH044S;32.167212;48.426115
KH045;32.159113;48.438329
KH052;32.139785;48.273286
KH054;32.090536;48.368471
KH061;32.124745;48.336785
KH064;32.1215;48.39042
KH076;32.07548;48.42811
KH089;32.05021;48.33606
KH093;32.08672;48.29109
KH094;32.0686;48.2973
KH099;32.438471;48.374961
KH102;32.223349;48.614806
KH121;32.05345;48.55621
KH153;32.26415;48.76347
KH171;32.17091;48.81995
KH173;32.20463;48.80963
KH218;32.011328;48.721743
KH266;32.185928;48.48578
KH284;32.112778;48.528916
KH285;32.13242;48.37309
KH286;32.248267;48.22961
KH288;32.40039;48.41872
KH289;32.21864;48.44134
KH290;32.184727;48.530355
Khafajeh;33.355662;44.555562
Khanijdal;36.67735;42.26121
Kharab al-'Id;36.94909;41.33486
Khazne;36.71814;40.66273
Khirbat ‘Ali;36.821282;42.002294
Khirbat ‘Asaylan;36.766912;42.002848
Khirbat al-‘Abd;36.79182;41.993905
Khirbat al-Batta;36.863117;41.966205
Khirbat Awa’id;36.798055;41.964454
Khirbat Barjis;36.778564;41.911937
Khirbat Melhem;36.76348;41.930216
Khirbat Taif;36.767041;41.900031
Khirbet al Fakhar;36.796965;41.954664
Khirbet Baguda;36.661949;42.108506
Khirbet Gar Sur;36.739269;42.406352
Khirbet Meshreq;36.404118;38.190737
Khodr;36.433259;41.261127
KHS.1;37.473038;38.402026
KHS.11;37.486709;38.431249
KHS.15;37.479717;38.464471
KHS.20;37.465132;38.441132
KHS.25;37.482634;38.456026
KHS.39;37.441864;38.505564
KHS.41;37.453557;38.488452
KHS.42;37.448216;38.481535
KHS.44;37.360885;38.529362
Kilise Tepe;38.639516;39.496359
Kirasa Tepesi;38.4805217;38.5047408
Kirmizi Ok Tarlasi;36.94017694;38.00096792
KIS.032;32.6921369;44.5832668
KIS.098;32.636291;44.8191654
Kolfelek Tarlasi;37.101114;37.876035
Komecli Tepe;36.902531;38.006823
Konk;38.606478;39.416769
Kortepe 1;38.642478;39.520693
Kortepe 2;38.640165;39.518954
Kortepe 3;38.619672;39.388631
Korucutepe;38.636976;39.532689
Koshe;31.824042;45.6134057
Kreyn;35.861231;38.43761
Kul Tepe;38.838;45.658
Kum Ocagi;36.869585;38.025207
Kurban Höyük;37.482835;38.427758
Kurban Hoyuk;37.482835;38.427758
Kurucahöyük;37.00809;38.013071
Kurucayir Tepesi;38.603995;39.43508
Kusakuyu Höyügu;37.12183;38.221621
Kutha;32.7605648;44.6114504
KV.H1;34.592507;47.860482
KV.K52;34.455475;48.055783
KV.V3;34.540819;48.09257
Larsa;31.282894;45.853303
LBB.433;33.3209063;44.5899455
LBB.441;33.3060237;44.5886206
LBB.465;33.2554691;44.6116698
LBB.534;33.3113054;45.0838596
LBB.568;33.2020656;44.604997
LBB.599;33.1953381;44.7187968
LBB.634;33.2422285;44.9665354
LBB.851;32.8339506;45.3440387
LCP.10;36.72620482;37.97120667
LCP.25;36.63586471;37.93123878
LCP.3;36.77683135;37.95479652
LCP.38;36.63311057;37.99669849
LCP.47;36.73143483;37.7791466
LCP.5;36.78709972;37.98113866
LCP.50;36.72249797;37.82187969
LCP.53;36.80216587;37.95745359
LCP.55;36.79220577;37.91146654
LCP.60;36.74631514;37.89184004
LCP.65;36.74345432;37.85596038
LCP.71;36.77449701;37.88440779
LCP.78;36.76520984;37.93105117
lemdet Ubaid;32.7100282;44.7766973
Lidar Hoyuk;37.558017;38.594712
LN.1049;36.863185;42.757757
Logardan;35.528381;44.876328
Ludik Harmani;37.763523;38.95525
Mahdum;36.0998;37.86464
Makaraz Tepe;38.650284;39.447324
Marad;32.0915257;44.7848488
Marjan;36.854746;41.517479
Mashnaqa;36.290049;40.792825
Mazra'at Hadidi;36.252094;38.102669
Mengelli Höyük;37.002226;38.153768
Merejib;30.8626632;46.1571815
Meyan Hoyogu;37.586878;38.616651
Mezarlik Tepe;38.614636;39.47043
Mezraa Hoyuk;36.970374;37.995752
Muqable III;36.913114;42.73916
Nabua;36.94906;41.59487
Near Akarcay #2;36.92358;38.028094
Near Saray;37.03281;37.96752
Nevali Cori;37.586403;38.630125
Nineveh;36.359287;43.151994
Nippur;32.126552;45.230182
NJP.115;36.66103418;42.22717833
NJP.118;36.65408784;42.20928817
NJP.119;36.69010833;42.32158409
NJP.123;36.63583885;42.24344701
NJP.130;36.76451053;42.19383
NJP.136;36.62435987;42.1837368
NJP.137;36.65937767;42.13969543
NJP.138;36.64890869;42.14004966
NJP.139;36.66376667;42.1394132
NJP.143;36.70842566;42.1360218
NJP.145;36.70437666;42.09310646
NJP.146;36.68133171;42.10521058
NJP.148;36.7290391;42.15061862
NJP.153;36.77473209;42.12007182
NJP.154;36.77599587;42.13197878
NJP.158;36.76504722;42.09558806
NJP.16;36.70343401;42.36192904
NJP.160;36.7753138;42.14658936
NJP.170;36.72757139;42.08794071
NJP.171;36.72518927;42.10793805
NJP.172;36.7359077;42.11036484
NJP.174;36.73823515;42.04837917
NJP.179;36.69967408;42.06264957
NJP.181;36.6840292;42.02983448
NJP.183;36.68102349;42.04807809
NJP.19;36.72283352;42.25440834
NJP.26;36.70343401;42.36192904
NJP.32;36.78925672;42.21067644
NJP.45;36.69944695;42.38396979
NJP.46;36.68825763;42.36266814
NJP.60;36.69393269;42.31571711
NJP.62;36.68608701;42.29483165
NJP.64;36.68997003;42.26283399
NJP.69;36.66696019;42.28625826
NJP.75;36.73230431;42.21590646
NJP.76;36.73461747;42.20564332
NJP.84;36.71457519;42.2295519
NJP.89;36.71754522;42.21022971
NJP.99;36.64075999;42.17401157
Norsuntepe;38.625568;39.471996
Oylum Hoyuk;36.698636;37.179028
Pasaköy;36.368731;36.23727
Pinarbasi;38.460812;38.47028
Pirot;38.413427;38.699386
Pirot Hoyuk;38.39692746;38.66100651
Pulur;38.900753;38.855492
Qahtaniya;37.02892284;41.54825173
Qal'a Maltis;31.5308563;45.8651452
Qal'at al Mudiq;35.251149;36.233218
Qaladze;36.18607262;45.11450446
Qaleh Kohneh;31.133839;49.5825939
Qaleh Sedif;31.2179835;49.6861289
Qalinj Agha;36.176878;44.01414
Qarashina;36.122867;44.930641
QD046;31.9733357;45.473039
QD054b;31.8849003;45.5566061
QD065;31.7446088;45.7505112
QD091;31.7966544;45.7284937
QD111;31.7446088;45.7505112
QD121;31.7966544;45.7220965
QD122;31.7392821;45.7719729
QD139;31.8388478;45.7284937
Qirri;37.002649;40.789914
Qraya;34.955295;40.562645
Qubur al Harb;36.98526;41.64072
Raedau Sharqi;31.320566;45.553284
RH.077D;31.10286;49.612415
Rogheyveh A;31.551891;49.242516
Rubai Kale;37.22176376;42.34522049
Rubaiat al-Torra;32.14423;45.47186
S104;32.55423;47.269834
S61;32.593441;47.339126
S62;32.558252;47.350807
Sagarab;32.719889;47.301368
Said Mohammed;31.675272;45.860453
Said Mohammad;31.675272;45.860453
Salal Cem.;36.77832078;42.64371719
Samsat;37.522233;38.515217
Saskan Buyuktepe;37.486591;38.478021
Savka Tepe;38.620045;39.437632
Seh Gabi;34.56931;48.093488
Seki Mevkii;38.551655;38.345346
Semsiye tepe;38.571679;38.367813
Sepet Harabesi;37.488008;38.611709
Shadi Tepe;36.897804;38.013426
Shair;37.052753;41.437273
Shams ed-Din Tannira;36.14556;38.102736
Sharmouk;36.531266;41.23567
Shavi Hoyuk;36.925267;38.010534
Shcutha;32.5876048;44.882558
Sheikh Hassan;36.202238;38.114322
Shelgiya;37.02423;42.380296
Shelkiya Cem.;37.02480766;42.38014481
Shemshara;36.200709;44.938253
Sheraga Höyük;36.919883;38.001892
Sheraga Hoyuk;36.919883;38.001892
Shibaniyeh;36.575189;41.212602
Shiukh Tahtani;36.754186;38.083981
Sippar;33.059344;44.254524
site 39;37.460912;38.480282
Siyana Ulya;36.807752;42.532629
Smihan Sharqi;36.700595;41.13185
SS.25;36.278338;38.18267038
Sufiyah;36.915;41.54278
Suleymanbey Harabesi;37.599942;38.616705
Sultal el Tellul;36.699456;41.609694
Sultan el Tellul;36.699456;41.609694
Surezha;35.998593;43.885211
Surtepe Höyük;37.054823;37.948682
Surtepe Hoyuk;37.054823;37.948682
Susa;32.189773;48.252052
T. Gray Lud;36.81968002;42.70951679
T50/12;37.630546;38.350161
Tal i-Ghazir;31.3587281;49.4181885
Tal i-Iblis;29.778089;56.894805
Tal e-Abbas;31.3094858;49.5591261
Tal-e Abbas;31.3094858;49.5591261
Tal-e Subiti;31.267161;49.432803
Tall al-Shaykh 'Ali;33.5528;36.48129
Tall Ayu;35.025085;36.735368
Tall Hajji Badr;36.97841;41.22767
Tal i-Malyan;30.04001;52.243841
Tall i-Malyan;30.04001;52.243841
Tall e-Gapo Cham;31.1067368;49.6097076
Tall-e Gapo Cham;31.1067368;49.6097076
Tappeh Mehr Ali;30.669312;52.163193
Tartab 3;37.03541;41.142296
Tarzi;36.919973;40.803615
Taskun Mevkii;38.855627;38.957678
Tatar Hoyuk;37.393615;38.623582
Tatarhoyuk;38.633286;38.633286
TBS.19;36.67923614;40.64334939
TBS.24;36.75063933;40.60283632
TBS.25;36.75229415;40.63679459
TBS.29;36.76588839;40.60755486
TBS.3;36.69428242;40.57860522
TBS.30;36.7640699;40.61220316
TBS.32;36.78132706;40.62990359
TBS.34;36.78841427;40.64306095
TBS.35;36.80010979;40.64630874
TBS.37;36.82285267;40.65869184
TBS.38;36.82657454;40.65730129
TBS.4;36.71033414;40.59730575
TBS.41;36.80450996;40.60312836
TBS.43;36.77488404;40.5591887
TBS.48;36.79758732;40.52211391
TBS.50;36.7865831;40.50658017
TBS.53;36.82955929;40.51583817
TBS.54;36.84371009;40.53859707
TBS.59;36.68319163;40.6077783
TBS.63;36.76586323;40.49097392
TBS.64;36.75888958;40.47823157
TBS.65;36.7687016;40.4635373
TBS.73;36.71860314;40.44867665
TBS.74;36.81501238;40.48004388
TBS.76;36.69297876;40.66468907
TBS.8;36.69585671;40.60636658
TBS.9;36.72868409;40.62500574
Tell 'Alu;36.93834;41.78651
Tell 'Ayn;36.151234;37.105168
Tell 'Azaz;36.350963;37.024079
Tell 'Imar;36.308709;36.444481
Tell Aalouq Charqi;36.859069;40.140761
Tell Aarade;37.003466;40.402267
Tell Aazaz;36.586007;37.044664
Tell Abu Awad;32.4240848;44.916099
Tell Abu Danne;36.178889;37.451612
Tell Abu Dhahir;36.837031;42.493505
Tell Abu Dibis;32.8990224;45.3067691
Tell Abu Hafur;36.362572;40.394031
Tell Abu Hajira;36.767311;42.209161
Tell Abu Huraybah;32.766523;44.7064088
Tell Abu Kubeir;33.3302655;44.9455258
Tell Abu Maria;36.429586;42.597602
Tell Abu Qubur al-Saghir;33.2869408;44.6530841
Tell Abu Simsim;32.5753962;45.0187658
Tell Abu Tibbin;33.6553293;45.0434268
Tell Abu Zumal;31.4880057;45.85623
Tell Afis;35.905;36.798753
Tell Agrab;33.3390436;44.8742593
Tell Ahmar;36.67443;38.120951
Tell Ahmar South;36.96192;41.06463
Tell al-Arsan;32.3068831;45.3376006
Tell al-Dhubay'ah;31.9279053;45.4599338
Tell al-Dur;36.738743;42.233012
Tell al-Faris;36.74317;41.06297
Tell al-Halfayah;33.5946264;44.5118728
Tell al-Hawa;36.747928;42.301115
Tell al-Hayyad;32.0429296;45.706712
Tell al-Hilwa;36.70995;42.241772
Tell al-Rashshad;33.2547638;44.5781597
Tell al-Rasm;36.27412;36.26102
Tell al-Rishyd;32.7490201;44.7684241
Tell al-Sabkha;35.091997;37.06941
Tell al-Sara;36.692164;40.955509
Tell al-Ubaid;30.9722063;46.0304994
Tell al-Ward;36.798675;40.344512
Amarna;36.74532;38.013713
Tell Amarna Cemetery;36.444315;38.04937
Tell an-Nis;36.122882;41.524987
Tell Anab as-Safinah;36.232282;38.138518
Tell Arbid;36.872303;41.021072
Tell as-Saibakh;36.65894;41.08799
Tell Ashnane Charqi;36.676153;40.393455
Tell Asmar;33.4853439;44.7282755
Tell Avguir Faouqani;36.781689;40.826442
Tell Baharir Kebir;36.775909;40.278575
Tell Banat;36.4369358;38.2825067
Tell Baqar;36.998784;40.737589
Tell Baqrta;35.951959;43.909935
Tell Barabaira1;36.558819;38.91728
Tell Barabra East;36.558819;38.91728
Tell Barghasha;31.8721834;45.5716741
Tell Barri;36.738928;41.127012
Tell Begum;35.297976;45.884092
Tell Berne;36.0333;37.006918
Tell Beydar;36.737994;40.587119
