site;lat;long
Tell Karrana;36.43;42.55
Tell Kashkashok;36.636863;40.641436
Tell Kassiha;36.4667;37.15
Tell Kdich;37.033094;40.621129
Tell Keçebey;36.286167;36.30706
Tell Kerkh;35.492993;36.275753
Tell Kerma;36.265313;40.501408
Tell Khathale;31.8435596;45.1648733
Tell Khatoun;36.780966;40.629784
Tell Khfay;32.5358271;44.9046198
Tell Khibi;36.427985;37.004827
Tell Khorsadah;31.0177212;45.7801252
Tell Kiber 2;36.660862;42.226508
Tell Kosak Samali;36.332783;38.164718
Tell Kurdu;36.329502;36.445535
Tell Leilan;36.95853;41.506266
Tell Maled;36.44547;37.228729
Tell Mana'a;36.681603;42.144033
Tell Mardikh;35.798882;36.798308
Tell Matin;36.48894;40.323898
Tell Meksour;36.25;37.45
Tell Midar Ihmud;33.2801671;44.5941959
Tell Midr Da'ud;33.2615498;44.6139266
Tell Mismar;31.45968;45.51882
Tell Mısri;36.326851;36.326851
Tell Mohammed Arab;36.634561;42.889868
Tell Mozan;37.057708;40.996403
Tell Mulla Matar;36.450344;40.832972
Tell Mumbaqat;36.130284;38.074713
Tell Mureybet;36.04814;38.053151
Tell Mureybet Ferry;36.0645841;38.0936238
Tell Na’ur;36.75105;41.917969
Tell Nader;36.173148;44.07549
Tell Nebi Mend;34.555572;36.51879
Tell Nourek;36.68308;40.887391
Tell Qadahiye;36.602403;38.230052
Tell Qaramel;36.377752;37.275072
Tell Qarqur;35.742034;36.330521
Tell Qattinu;37.02033;40.696899
Tell Qubasin;36.43312;37.57267
Tell Qumluq;36.701725;38.087473
Tell Qushla;36.771705;41.135301
Tell Rahhal;36.343556;37.387706
Tell Ramadi;34.647871;40.87625
Tell Rashid;36.76893;40.604902
Tell Rashied;36.764974;42.095052
Tell Rhazal Tahtani;36.76583;40.491355
Tell Rifa'i al-'Ubaid;31.0123524;45.9521836
Tell Rijim;36.711246;42.791842
Tell Rubahiyat al-Torra;32.1455052;45.4642658
Tell Rubeideh;34.11;44.59
Tell Rumah;31.8376971;45.5016973
Tell Sara;36.69223;40.955513
Tell Sha'ir;36.90242;38.30212
Tell Shaykh Nims;36.786058;41.139785
Tell Sheik Homsy;36.800842;42.583467
Tell Sheikh Hamad;35.383684;40.442512
Tell Shiukh Fawqani;36.787551;38.035968
Tell Shmid;31.7472944;45.8317125
Tell Sourane;36.566434;37.210782
Tell Soussiane;36.43348;37.44129
Tell Sukas;35.306318;35.922203
Tell Ta'yinat;36.248585;36.375734
Tell Talab;36.746243;42.200789
Tell Tcholama Tahtani;36.823392;40.785444
Tell Tukal;36.416156;38.671485
Tell Tuwayyil;36.86724;41.57534
Tell Umm Qseir;36.243238;40.505866
Tell Uqair;32.7816447;44.6643158
Tell Warada;36.691983;42.34464
Tell Ziyade;36.243985;40.503909
Tell Zuweikat;36.711712;41.029891
Tenel Ramon;32.62153;47.187873
Tepe Alvan;32.113172;48.452252
Tepe Badyamar Rabat;36.12;45.32
Tepe Baghi;36.176879;45.513173
Tepe Bayamun;31.342909;49.506996
Tepe Beilou;35.447691;46.176544
Tepe Chakali;32.657086;47.271113
Tepe Chakhmagh Avi;35.459132;46.224646
Tepe Deh Now;32.068413;48.568049
Tepe Farukhabad;32.587327;47.224095
Tepe Galeh Bongoon;32.242936;48.402085
Tepe Garmasi;32.698056;47.187588
Tepe Gawra;36.495824;43.260433
Tepe Gabrestan;35.823166;49.975034
Tepe Gheshlagh;35.71916621;47.8777948
Tepe Giyan;34.160722;48.226642
Tepe Goman;36.365873;45.424734
Tepe Gryashan;35.294598;47.02411
Tepe Han Alyas;35.455818;46.205434
Tepe Han Alyas;35.455818;46.205434
Tepe Hasera Gawra;35.515048;46.215912
Tepe Hissar;36.154501;54.385235
Tepe Hissar;36.154501;54.385235
Tell Imam Atuyi;32.298343;48.123739
Tepe Jardari;32.227118;48.326501
Tepe Jelise;32.414892;47.580949
Tepe Kal;35.464772;45.473032
Tepe Keihf;32.041292;48.275403
Tepe Lavin;36.689442;45.196121
Tepe Mir Vais;35.460019;46.226114
Tepe Mohammed Agha;32.304251;48.264339
Tepe Molla Yousef;36.121093;45.576563
Tepe Moravache;31.269615;49.438861
Tepe Rahimeh;32.19138;48.457795
Tepe Rasha;35.529161;46.200276
Tepe Sadarabad;32.01272;48.79806
Tepe Sagzabad;35.842403;49.952776
Tepe Saiyeh;32.36884;48.241322
Tepe Sanjar;32.143707;48.52418
Tepe Sayed Nabih;32.05173;48.41052
Tepe Senjar;32.364439;48.20073
Tepe Sharafabad;32.285569;48.36564
Tepe Sialk;33.968506;51.404617
Tepe Sofalin;35.316111;51.735
Tepe Suleiman;32.239295;48.235716
Tepe Twaim;32.175763;48.50893
Tepe Vassa;35.668277;46.082312
Tepe Waliv;36.28499;45.490923
Tepe Yahya;28.3309;56.867423
Tepecik;38.6439397;39.4334973
Teppe Bowla;32.665439;47.253786
THS.18;36.844893;42.004372
THS.2;36.818408;41.95699
THS.21;36.832267;42.007275
THS.22;36.81255;42.005516
THS.30;36.781731;41.977974
THS.31;36.784663;41.981784
THS.33;36.765154;42.003261
THS.36;36.776248;41.95864
THS.38;36.758064;41.978469
THS.46;36.791332;41.912711
Tiladir Tepe;36.865311;38.037355
Tilbes Höyük;37.08602;37.869373
Tilbeshar;36.872777;37.559311
Tille Höyük;37.752056;38.892388
Tille Hoyuk;37.752056;38.892388
Tol e-Nurabad;30.12201;51.520724
Tol e-Sopid;30.252087;51.484392
Toprakkale;37.785631;38.954626
Torcik Mevkii;37.573127;38.603924
Torctepe;37.509466;38.573279
Tousana;36.98867132;42.491573
TS.30;37.528454;38.659565
TS30;37.528454;38.659565
TS9;37.475928;38.715039
Tulintepe;38.634579;39.418028
Tulul Abu Jawan;33.1342505;44.8068137
Tulul Abu Yiwalik;33.4082601;45.0730564
Tullul Dhiba'i (B);33.5001795;44.9823487
Tulul Dhiba'i (B);33.5001795;44.9823487
Tulul Midr Salmah;33.2282672;44.6633906
Tulul Rughath;33.3882599;44.8673225
UC.009;31.7933875;45.5878198
UC.012;31.7787514;45.6150676
UC.018;31.7819718;45.7178146
UC.022;31.7481912;45.5218717
UC.023;31.7601375;45.5613327
UC.024;31.751815;45.5567085
UC.028;31.76173;45.61079
UC.034;31.779641;45.8549599
UC.042;31.7360299;45.5162077
UC.044;31.7228296;45.5329084
UC.047;31.723976;45.670592
UC.048;31.7353054;45.6921552
UC.051;31.6990263;45.6938459
UC.060;31.6631381;45.5028479
UC.071;31.6394708;45.5721255
UC.076;31.6850511;45.6271136
UC.077;31.6869;45.63019
UC.083;31.6882422;45.6652604
UC.086;31.6579999;45.7389628
UC.087;31.6588946;45.6462755
UC.095;31.6201348;45.4979847
UC.103;31.581831;45.567733
UC.106;31.6150366;45.606068
UC.107;31.6315869;45.6149323
UC.108;31.6302432;45.6241259
UC.109;31.6256752;45.6296443
UC.112;31.6073742;45.645236
UC.114;31.5921493;45.640942
UC.115;31.6111227;45.6675836
UC.118;31.5776598;45.6643125
UC.119;31.5856358;45.6725187
UC.120;31.603469;45.6947038
UC.123;31.6059618;45.7248869
UC.124;31.5955458;45.6897373
UC.125;31.5980469;45.697752
UC.126;31.5848058;45.6892408
UC.127;31.5870935;45.7047289
UC.128;31.5829276;45.6999989
UC.129;31.5836017;45.7273267
UC.133;31.5552346;45.5598172
UC.137;31.5330792;45.5609379
UC.139;31.5209157;45.5580091
UC.144;31.5374022;45.5802669
UC.152;31.5655527;45.6808359
UC.153;31.5685266;45.697147
UC.155;31.54829;45.6572
UC.160;31.523832;45.6861412
UC.161;31.506597;45.696483
UC.162;31.5147583;45.7235665
UC.163;31.5084626;45.7331502
UC.166;31.7311475;45.7465265
UC.167;31.7286768;45.7472334
UC.171;31.7445706;45.9006276
UC.173;31.6904408;45.7641257
UC.174;31.69047;45.78464
UC.178;31.6709534;45.776497
UC.179;31.661047;45.781094
UC.181;31.6338365;45.7483537
UC.185;31.6285066;45.7981875
UC.187;31.6215918;45.7951736
UC.191;31.6103725;45.7903466
UC.193;31.6045173;45.8021903
UC.201;31.5958263;45.7550748
UC.203;31.5759782;45.7547579
UC.209;31.5725093;45.8745484
UC.215;31.5639754;45.7650583
UC.218;31.5288841;45.7555481
UC.219;31.5075708;45.7613821
UC.236;31.5180667;45.9071046
UC.237;31.5228282;45.937821
UC.242;31.4736015;45.5861308
UC.256;31.46788;45.664797
UC.262;31.4581593;45.7073407
UC.264;31.4555743;45.7250253
UC.272;31.4510069;45.612109
UC.274;31.4427224;45.6281812
UC.276;31.4426098;45.6361152
UC.282;31.4161422;45.6291496
UC.285;31.4024403;45.6435443
UC.286;31.3972354;45.6486973
UC.292;31.405522;45.6783189
UC.293;31.4080187;45.6871036
UC.297;31.4212694;45.747348
UC.309;31.386911;45.6993595
UC.310;31.3903422;45.7005662
UC.314;31.3637656;45.6908747
UC.317;31.3787333;45.7250391
UC.318;31.3743927;45.7240883
UC.325;31.3555557;45.6581857
UC.329;31.3305833;45.6210688
HOC.329;31.3305833;45.6210688
UC.330;31.3375189;45.6620716
UC.331;31.3417655;45.6731254
UC.334;31.3556512;45.7045676
UC.338;31.3178481;45.6191268
UC.350;31.2811621;45.6469305
UC.370;31.4924;45.94017
UC.373;31.4401459;45.7567291
UC.376;31.463859;45.839827
UC.380;31.447685;45.914882
UC.386;31.4170638;45.7578744
UC.387;31.4090687;45.7641759
UC.402;31.40654;45.93424
UC.406;31.3596451;45.7529873
UC.407;31.3554231;45.7524514
UC.409;31.356041;45.789023
UC.410;31.3376343;45.7568233
UC.417;31.3196364;45.8087118
UC.418;31.3415399;45.817543
UC.453;31.3134344;46.0247352
UC.460;31.2426518;45.8857455
Ugarit;35.602121;35.785574
Umm 'Adham;36.817281;41.652128
Umm al-Ajjaj;31.5494196;45.8744456
Umm al-Aqarib;31.6202932;45.9357713
Umm al-Fugas;32.02658;45.361387
Umm al-Jir;32.6485451;44.851739
Umma/Jokha;31.66743;45.887676
Ur;30.961805;46.10512
UR.007;30.9223168;45.9779629
UR.033;30.9822921;45.7830748
UR.036;30.9882712;45.7432853
UR.171;30.787316;46.3278163
UR.308;30.9192484;45.9800285
UR.309;30.9214161;45.9828884
UR.310;30.9249414;45.9743443
Uruk;31.322626;45.63961
Uwayla;36.700791;41.101548
Yarim Tepe;38.635696;39.458829
Yel Baba;36.602352;37.174888
Yerlesme 6;37.483533;38.416982
Yorgan Tepe;35.369561;44.254878
Zabalam;31.7439224;45.8754568
Zeytin Bahceli Höyük;36.995725;37.977688
Zreyjiye-south;36.07678;38.05501
Zurghul;31.377626;46.494315
Shakhi Kora;34.516075;45.264155
Shakar Tepe;35.266851;45.845165
Tulul al-Baqarat;32.331382;45.733455
Jemdet Zabi;32.331155;45.052419
Mewe Cave;36.334174;44.855557
Gird-i Shamlu;35.28707;45.874195
Araban;36.107164;44.941014
Tell Hadji Ibrahim;36.268322;38.256299
