EHS.B308;EHS.B209
EHS.B203;EHS.B011
EHS.B011;EHS.B012
Salal Cem.;Bardiya 8
Salal Cem.;Abu Dhahir
Bardiya 8;Gir Matbakh
Abu Dhahir;Gir Matbakh
Gir Matbakh;EHS.B281
EHS.B281;EHS.A027
Gir Matbakh;EHS.A027
Gir Matbakh;EHS.B163
EHS.A027;Shelkiya Cem.
Shelkiya Cem.;Basorin Hoyuk
Basorin Hoyuk;Rubai Kale
Nineveh;Tell Kazna
Tell Kazna;Surezha
Tell Kazna;Girdi Gozka
Girdi Gozka;Gird Lashkir
Gird Lashkir;Bab-w-Kur
Gird Lashkir;Kamarian
Gird Lashkir;Araban
Araban;Bab-w-Kur
Araban;Tepe Badyamar Rabat
Bab-w-Kur;Tepe Badyamar Rabat
Kamarian;Tepe Badyamar Rabat
Tepe Badyamar Rabat;Tepe Molla Yousef
Tepe Molla Yousef;Tepe Baghi
Tepe Baghi;Tepe Waliv
Tepe Waliv;Tepe Goman
Tepe Goman;Tepe Lavin
Tepe Molla Yousef;Tepe Rasha
Tepe Molla Yousef;Ban Qala
Surezha;Yorgan Tepe
Surezha;Girdi Qala
Girdi Qala;Kani Shaie
Kani Shaie;Ban Qala
Ban Qala;Dwanza Imam
Dwanza Imam;Gurga Chiya
Dwanza Imam;Bark Awa
Tepe Sagzabad;Shakhi Kora
Shakhi Kora;Tepe Gabrestan
Shakhi Kora;Tell Hassan
Shakhi Kora;Tepe Saiyeh
Tepe Sialk;Arisman
Yorgan Tepe;Tell Rubeideh
Nineveh;Tell Rubeideh
Nineveh;Tulul Dhiba'i (B)
Tell Rubeideh;Tell Hassan
Tell Rubeideh;Tulul Dhiba'i (B)
Tulul Dhiba'i (B);Tell Hassan
Tulul Dhiba'i (B);Tepe Farukhabad
Qraya;Fadgami
Qraya;El-Kowm2
Qraya;Tell Ramadi
Tell Ramadi;KIS.098
Tell Ramadi;HOC.1375
Tell Ramadi;HOC.329
Tell Ramadi;HOC.1615
Tell Rubeideh;HOC.574
Nineveh;HOC.574
HOC.574;Tulul Dhiba'i (B)
Tulul Dhiba'i (B);Tepe Chakali
Tepe Farukhabad;S104
Tepe Chakali;S104
S104;Chagha Sefid
S104;S61
S104;Tepe Jelise
Chagha Sefid;Tepe Jelise
S61;Tepe Jelise
Tepe Jelise;Tell Imam Atuyi
Tell Imam Atuyi;KH286
Tell Imam Atuyi;Tepe Keihf
Tell Imam Atuyi;Susa
Tepe Keihf;Girsu
Tepe Keihf;Ur
Tepe Keihf;HOC.574
KH286;Tepe Suleiman
KH286;Susa
KH286;Tepe Keihf
KH286;Ur
KH286;Girsu
KH286;HOC.574
Tepe Suleiman;Ur
Tepe Suleiman;Girsu
Tepe Suleiman;HOC.574
Tell Imam Atuyi;KH22
Tell Imam Atuyi;Girsu
Tell Imam Atuyi;Ur
Tell Imam Atuyi;HOC.574
KH22;Tepe Mohammed Agha
KH22;Susa
KH22;KH015
KH22;Tepe Galeh Bongoon
KH22;Tepe Jardari
KH22;KH288
KH22;Tepe Sharafabad
KH22;KH044S
KH22;Girsu
KH22;HOC.574
KH22;Ur
KH288;Choga Mish
KH288;Tepe Sharafabad
KH288;Tepe Galeh Bongoon
KH288;KH044S
KH288;KH102
Susa;KH052
KH052;KH032
KH032;KH093
KH093;KH094
KH094;Tepe Moravache
KH035;KH034
KH034;Abu Fanduweh
Abu Fanduweh;Haft Tepe
Haft Tepe;KH089
KH089;Kasanet Sabeh
KH285;KH064
KH064;KH076
Tepe Jardari;Bugga Ishan
Tepe Jardari;Tepe Alvan
Tepe Alvan;KH121
Tepe Alvan;Tepe Deh Now
Bugga Ishan;KH045
KH045;KH044S
KH044S;Tepe Sharafabad
Tepe Sharafabad;KH288
Tepe Sharafabad;Tepe Jardari
Tepe Sharafabad;KH022
Tepe Sharafabad;Tepe Galeh Bongoon
Tepe Sharafabad;KH044S
Tepe Galeh Bongoon;KH289
KH289;KH040
KH040;Tepe Rahimeh
Tepe Rahimeh;Ishan Abu Diyyayyat
Ishan Abu Diyyayyat;KH005
KH005;KH284
KH284;KH121
KH121;Tepe Alvan
KH121;Tepe Deh Now
Tepe Deh Now;Choga Mish
Tepe Deh Now;KH102
Tepe Deh Now;KH288
Choga Mish;Tepe Galeh Bongoon
Choga Mish;KH121
Choga Mish;KH284
Choga Mish;KH288
Chogha Kabira;KH290
KH102;Chogha Pahwandeh
Chogha Pahwandeh;Burj Bazazi
Burj Bazazi;KH218
KH218;Tepe Sadarabad
Tepe Sadarabad;KH171
KH171;KH173
KH173;KH153
Tepe Sadarabad;Tal i-Ghazir
Tal i-Ghazir;Tepe Bayamun
Tal i-Ghazir;Tol e-Sopid
Tal i-Ghazir;Tepe Moravache
Tal i-Ghazir;Qaleh Sedif
Tal i-Ghazir;Ishan Abu Sharr Galleh
Tal i-Ghazir;Qaleh Kohneh
Tepe Bayamun;Tal e-Abbas
Tepe Moravache;Ishan al Yamalah
Tepe Moravache;Qaleh Kohneh
Tepe Moravache;Ishan Abu Sharr Galleh
Tepe Moravache;Qaleh Sedif
Qaleh Sedif;RH.077D
Qaleh Sedif;Ishan Abu Sharr Galleh
Qaleh Sedif;Qaleh Kohneh
Tepe Moravache;Tol e-Sopid
Tol e-Sopid;Qaleh Sedif
Tol e-Sopid;Ishan Abu Sharr Galleh
Tol e-Sopid;Qaleh Kohneh
RH.077D;Tall e-Gapo Cham
Ishan Abu Sharr Galleh;Tall e-Gapo Cham
Tall e-Gapo Cham;Qaleh Kohneh
Tol e-Sopid;Tol e-Nurabad
Tol e-Nurabad;Tepe Yahya
Susa;Girsu
Susa;HOC.574
Susa;Ur
Ur;Eridu
Ur;Uruk
Ur;UC.380
Ur;UC.297
Ur;Girsu
Eridu;Uruk
Uruk;UC.329
UC.329;Tell Mismar
Uruk;UC.314
Uruk;UC.161
Uruk;UC.297
Uruk;UC.380
UC.314;UC.309
UC.309;UC.262
UC.262;UC.163
UC.163;UC.218
UC.218;UC.161
UC.218;UC.297
UC.218;UC.201
UC.201;Abu Bott
Abu Bott;UC.179
Abu Bott;UC.218
Abu Bott;UC.181
UC.181;UC.201
UC.179;UC.178
UC.181;UC.047
UC.181;UC.077
UC.181;UC.083
UC.181;UC.120
UC.181;UC.123
UC.123;UC.120
UC.120;UC.124
UC.120;UC.201
UC.120;UC.077
UC.120;UC.047
UC.120;UC.083
UC.120;UC.077
UC.124;UC.119
UC.179;Umm al-Ajjaj
Umm al-Ajjaj;UC.380
UC.178;UC.173
UC.173;UC.167
UC.173;UC.174
UC.173;HOC.1355
UC.173;HOC.1353
UC.173;UC.047
UC.173;HOC.1448
UC.167;UC.174
UC.167;HOC.1355
UC.167;HOC.1353
UC.167;UC.047
UC.167;UC.237
UC.167;Tell Shmid
UC.167;HOC.1448
UC.047;UC.083
UC.083;UC.077
UC.077;UC.107
