lat;long
36.533279;41.372777
36.854966;41.983686
36.854966;41.983686
36.372488;41.365231
36.837318;41.99208
36.992101;41.305443
36.992101;41.305443
37.409272;38.440604
37.409272;38.440604
38.381894;38.36103
36.34025;43.414651
36.34025;43.414651
36.16341;44.89781
35.36713881;45.38792871
37.97998;41.77896
37.483399;38.400178
37.35833;38.53033
32.130381;48.440314
38.886665;38.951264
36.875593;40.897709
32.229088;48.613231
32.184568;48.684929
37.201279;36.905854
38.490278;45.032222
38.450684;38.458645
38.450684;38.458645
37.03489;41.494511
37.15;37.366667
36.799695;40.64698
36.592365;43.481194
36.592365;43.481194
36.592365;43.481194
36.666314;45.224499
34.518418;48.068398
34.518418;48.068398
38.933701;39.59977
36.648489;38.042727
36.767761;38.085236
36.767761;38.085236
37.566259;38.570432
35.135899;36.749498
35.135899;36.749498
36.482535;39.056983
37.490584;38.344418
37.10038;37.86661
32.161577;48.492286
32.136521;48.296612
36.61952783;39.84744328
37.114724;38.12798
36.33479308;36.37285983
36.828916;38.016226
32.122492;48.293794
32.167212;48.426115
32.139785;48.273286
33.355662;44.555562
33.355662;44.555562
36.71814;40.66273
36.821282;42.002294
36.766912;42.002848
36.766912;42.002848
36.79182;41.993905
36.863117;41.966205
36.798055;41.964454
36.76348;41.930216
36.767041;41.900031
36.767041;41.900031
36.796965;41.954664
36.433259;41.261127
36.433259;41.261127
37.473038;38.402026
37.441864;38.505564
37.360885;38.529362
38.636976;39.532689
38.636976;39.532689
38.636976;39.532689
38.838;45.658
38.838;45.658
38.838;45.658
37.482835;38.427758
37.00809;38.013071
37.12183;38.221621
31.282894;45.853303
31.282894;45.853303
36.72620482;37.97120667
36.63586471;37.93123878
36.63311057;37.99669849
36.73143483;37.7791466
36.73143483;37.7791466
36.72249797;37.82187969
36.80216587;37.95745359
36.79220577;37.91146654
36.74631514;37.89184004
36.74345432;37.85596038
36.77449701;37.88440779
36.77449701;37.88440779
36.76520984;37.93105117
37.558017;38.594712
36.854746;41.517479
36.252094;38.102669
36.252094;38.102669
36.252094;38.102669
37.002226;38.153768
37.002226;38.153768
36.94906;41.59487
36.94906;41.59487
36.92358;38.028094
36.63583885;42.24344701
36.63583885;42.24344701
36.76451053;42.19383
36.76451053;42.19383
36.76451053;42.19383
36.62435987;42.1837368
36.62435987;42.1837368
36.7290391;42.15061862
36.7290391;42.15061862
36.77473209;42.12007182
36.77473209;42.12007182
36.77599587;42.13197878
36.77599587;42.13197878
36.76504722;42.09558806
36.76504722;42.09558806
36.70343401;42.36192904
36.70932848;42.33269251
36.70343401;42.36192904
36.70932848;42.33269251
36.70343401;42.36192904
36.70932848;42.33269251
36.72518927;42.10793805
36.72518927;42.10793805
36.7359077;42.11036484
36.7359077;42.11036484
36.73823515;42.04837917
36.6840292;42.02983448
36.6840292;42.02983448
36.68102349;42.04807809
36.78925672;42.21067644
36.78925672;42.21067644
36.69944695;42.38396979
36.69944695;42.38396979
36.68825763;42.36266814
36.69393269;42.31571711
36.68608701;42.29483165
36.68997003;42.26283399
36.66696019;42.28625826
36.73461747;42.20564332
36.64075999;42.17401157
38.625568;39.471996
36.698636;37.179028
36.698636;37.179028
36.698636;37.179028
38.39692746;38.66100651
38.39692746;38.66100651
36.18607262;45.11450446
31.9733357;45.473039
31.8849003;45.5566061
31.809917;45.7220965
31.9058809;45.7505112
31.7446088;45.7505112
31.7966544;45.7284937
31.8388478;45.7284937
31.7392821;45.7719729
31.7446088;45.7505112
31.7392821;45.7719729
31.7966544;45.7284937
31.8388478;45.7284937
31.7966544;45.7220965
31.7966544;45.7220965
31.7392821;45.7719729
31.7392821;45.7719729
31.8388478;45.7284937
31.8388478;45.7284937
31.8388478;45.7284937
31.8388478;45.7284937
36.98526;41.64072
37.22176376;42.34522049
34.56931;48.093488
34.56931;48.093488
37.052753;41.437273
37.052753;41.437273
34.516075;45.264155
36.531266;41.23567
37.02423;42.380296
37.02423;42.380296
37.02423;42.380296
36.575189;41.212602
36.575189;41.212602
36.754186;38.083981
37.460912;38.480282
36.278338;38.18267038
36.915;41.54278
37.054823;37.948682
29.778089;56.894805
33.5528;36.48129
33.5528;36.48129
35.025085;36.735368
35.025085;36.735368
36.97841;41.22767
30.04001;52.243841
30.669312;52.163193
37.03541;41.142296
38.633286;38.633286
38.633286;38.633286
36.78841427;40.64306095
36.82657454;40.65730129
36.80450996;40.60312836
36.80450996;40.60312836
36.80450996;40.60312836
36.77488404;40.5591887
36.77488404;40.5591887
36.68319163;40.6077783
36.68319163;40.6077783
36.178889;37.451612
36.178889;37.451612
36.362572;40.394031
36.362572;40.394031
35.905;36.798753
35.905;36.798753
36.67443;38.120951
36.747928;42.301115
35.091997;37.06941
35.091997;37.06941
36.692164;40.955509
36.74532;38.013713
36.444315;38.04937
36.151234;37.105168
36.151234;37.105168
36.350963;37.024079
36.350963;37.024079
36.350963;37.024079
36.4369358;38.2825067
35.951959;43.909935
35.951959;43.909935
35.297976;45.884092
36.0333;37.006918
36.395337;37.539159
